Genus_SCI,Genus_CN
Cyanolanius,科摩属
Cyanoliseus,穴鹦属
Cyanoloxia,蓝大属
Cyanolyca,黑领蓝头鹊
Cyanomitra,绿头花蜜鸟
Cyanopica,灰喜鹊属
Cyanopsitta,小蓝属
Cyanoptila,白腹蓝鹟
Cyanoramphus,新喀属
Cyclarhis,棕眉鵙雀
Cyclopsitta,橙胸属
Cygnus,天鹅属
Cymbilaimus,带斑属
Cymbirhynchus,黑红阔嘴鸟
Cynanthus,阔嘴蜂鸟
Cyornis,纯蓝仙鹟
Cyphorhinus,北栗胸歌鹪
Cypseloides,斑额黑雨燕
Cypsiurus,棕雨燕属
Cypsnagra,白腰唐纳雀
Cyrtonyx,彩鹑属
Dacelo,铲嘴翠鸟
Dacnis,红胸锥嘴雀
Dactylortyx,歌鹑属
Daphoenositta,杂色属
Daption,花斑属
Daptrius,黑巨属
Dasycrotapha,鬓松穗鹛
Dasylophus,蓬冠属
Dasyornis,棕刺莺
Deconychura,小长尾䴕雀
Delacourella,灰头绿背织雀
Deleornis,红领太阳鸟
Delichon,毛脚燕属
Dendragapus,蓝镰属
Dendrexetastes,红喉䴕雀
Dendrocincla,霸䴕雀
Dendrocitta,树鹊属
Dendrocolaptes,北斑䴕雀
Dendrocopos,棕腹啄木鸟
Dendrocoptes,阿拉伯啄木鸟
Dendrocygna,树鸭属
Dendroma,黄额拾叶雀
Dendronanthus,山鹡鸰属
Dendropicos,小灰啄木鸟
Dendroplex,直嘴䴕雀
Dendrortyx,黄顶属
Deroptyus,鹰头属
Dessonornis,白喉属
Devioeca,巴布亚小鹟
Diaphorapteryx,大查属
Dicaeum,啄花鸟属
Dichrozona,斑纹蚁鹩
Dicrurus,卷尾属
Didunculus,齿嘴鸠
Diglossa,蓝刺花鸟
Dinemellia,白头牛文鸟
Dinopium,金背三趾啄木鸟属
Diomedea,北皇属
Diopsittaca,红肩属
Diphyllodes,丽色极乐鸟
Discosura,绿刺尾蜂鸟
Diuca,迪卡雀
Dives,丛拟鹂
Dolichonyx,刺歌雀
Doliornis,栗肛伞鸟
Donacobius,黑顶鹪莺
Donacospiza,长尾芦雀
Doricha,细剪尾蜂鸟
Doryfera,绿额矛嘴蜂鸟
Drepanis,镰嘴管舌雀
Drepanoptila,散羽鸠
Drepanorhynchus,金翅花蜜鸟
Drepanornis,黑嘴镰嘴风鸟
Dreptes,巨花蜜鸟
Driophlox,红喉蚁唐纳雀
Dromaius,鸸鹋属
Dromas,蟹鸻属
Dromococcyx,小雉
Drymocichla,红翅灰莺
Drymodes,巴布属
Drymophila,赤褐蚁鸟
Drymornis,弯嘴䴕雀
Drymotoxeres,大镰嘴䴕雀
Dryobates,加州啄木鸟
Dryocopus,黑啄木鸟属
Dryolimnas,白喉属
Dryoscopus,大嘴属
Dubusia,卡氏山裸鼻雀
Ducula,皇鸠属
Dulus,棕榈属
Dumetella,灰嘲鸫
Dumetia,棕腹鹛
Dysithamnus,斑胸属
Dysmorodrepanis,夏威夷钩嘴雀
Eclectus,红胁属
Ectopistes,旅鸽属
Edolisoma,山鹃属
Egretta,白鹭属
Elachura,丽星鹩鹛
Elaenia,黄腹拟霸鹟
Elanoides,燕尾属
Elanus,黑翅鸢属
Elaphrornis,帕氏短翅莺
Electron,隆嘴属
Eleoscytalopus,白胸窜鸟
Eleothreptus,镰翅夜鹰
Elliotomyia,白腹蜂鸟
Elminia,蓝凤头鹟
Emarginata,灰岩属
Emberiza,鹀属
Emberizoides,小草属
Embernagra,大南属
Emblema,彩火尾雀
Eminia,灰顶莺
Empidonax,黄腹纹霸鹟
Empidonomus,杂色纹霸鹟
Empidornis,银鹟
Enicognathus,南鹦属
Enicurus,燕尾属
Enodes,火眉红椋鸟
Ensifera,剑嘴蜂鸟
Entomodestes,黑孤鸫
Entomyzon,蓝脸吸蜜鸟
Eolophus,粉红属
Eophona,蜡嘴属
Eopsaltria,东黄鸲鹟
Eos,蓝纹属
Ephippiorhynchus,鞍嘴属
Epimachus,黑镰嘴风鸟
Epinecrophylla,格喉蚁鹩
Epthianura,绯红属
Eremalauda,图氏沙百灵
Eremomela,黄嘴孤莺
Eremophila,角百灵属
Eremopterix,黑耳雀
Eriocnemis,黑胸毛腿蜂鸟
Erithacus,欧亚鸲属
Erpornis,白腹凤鹛
Erythrocercus,黄红鹟
Erythrogenys,长嘴钩嘴鹛
Erythrogonys,红膝属
Erythromachus,罗德属
Erythropitta,吕宋八色鸫
Erythrotriorchis,栗肩鹰
Erythrura,长尾鹦雀
Esacus,大石鸻属
Estrilda,梅花雀属
Eubucco,黄喉拟啄木鸟
Euchrepomis,棕腰蚁鹩
Eucometis,灰头唐纳雀
Eudocimus,美洲属
Eudromia,凤头䳍属
Eudromias,小嘴属
Eudynamys,噪鹃属
Eudyptes,长眉属
Eudyptula,小企鹅属
Eugenes,大蜂鸟
Eugerygone,红背刺莺
Eugralla,赭胁窜鸟
Eulabeornis,栗腹属
Eulacestoma,肉垂犁嘴鸟
Eulampis,绿喉蜂鸟
Eulidia,智利蜂鸟
Eulipoa,摩鹿加塚雉
Eumomota,绿眉属
Eumyias,印度仙鹟
Euneornis,橙喉雀
Eunymphicus,翎冠属
Euodice,银嘴文鸟
Eupetes,白眉长颈鸫
Eupetomena,燕尾刀翅蜂鸟
Euphagus,锈色黑鹂
Eupherusa,墨西哥妍蜂鸟
Euphonia,牙买加歌雀
Euplectes,黄顶巧织雀
Eupodotis,白腹属
Eupsittula,绿喉属
Euptilotis,角咬属
Euptilotus,凤头属
Eurillas,小绿属
Eurocephalus,白腰属
Eurostopodus,斑毛腿夜鹰
Euryceros,盔鵙属
Eurylaimus,带斑阔嘴鸟
Euryptila,红胸莺
Eurypyga,日鳽属
Eurystomus,三宝鸟属
Euscarthmus,褐顶丛霸鹟
Euschistospiza,朱背双斑雀
Eutoxeres,白尾尖镰嘴蜂鸟
Eutrichomyias,仙蓝王鹟
Eutriorchis,马岛属
Falcipennis,镰翅属
Falco,隼属
Falculea,弯嘴属
Falcunculus,北鵙雀
Ferminia,扎巴鹪
Ficedula,姬鹟属
Florisuga,白颈蜂鸟
Fluvicola,斑水霸鹟
Formicarius,棕顶蚁鸫
Formicivora,狭嘴蚁鹩
Forpus,乌嘴属
Foudia,红织雀
Foulehaio,肉垂吸蜜鸟
Francolinus,鹧鸪属
Fraseria,白眉森鹟
Fratercula,簇羽属
Frederickena,黑喉属
Fregata,军舰鸟属
Fregetta,白腹舰海燕
Fregilupus,留尼旺椋鸟
Fringilla,燕雀属
Fulica,骨顶属
Fulmarus,暴雪鹱属
Fulvetta,棕头雀
Furnarius,白斑灶鸟
Gactornis,领夜鹰
Galbalcyrhynchus,白耳鹟
Galbula,黄嘴鹟
Galerida,凤头百灵属
Gallicolumba,黄胸鸡鸠
Gallicrex,董鸡属
Gallinago,沙锥属
Gallinula,黑水鸡属
Gallirallus,新西属
Gallirex,紫冠属
Galloperdix,赤鸡属
Gallus,原鸡属
Gampsonyx,小鸢属
Gampsorhynchus,白头鵙鹛属
Garritornis,弯嘴鹛
Garrodia,灰背海燕
Garrulax,噪鹛属
Garrulus,松鸦属
Gavia,潜鸟属
Gavicalis,杂色吸蜜鸟
Gecinulus,竹啄木鸟属
Gelochelidon,噪鸥属
Gennaeodryas,黄绿杂色鹟
Geobiastes,鳞斑地三宝鸟
Geocerthia,条纹爬地雀
Geococcyx,走鹃属
Geocolaptes,地啄木鸟
Geoffroyus,红脸属
Geokichla,白眉地鸫
Geopelia,姬地鸠
Geophaps,冠翎鹑鸠
Geositta,岸掘穴雀
Geospiza,小地雀
Geospizopsis,灰胸岭雀
Geothlypis,灰冠黄喉地莺
Geotrygon,蓝冠鹑鸠
Geranoaetus,白尾属
Geranospiza,鹤鹰
Geronticus,隐鹮属
Gerygone,黄腹噪刺莺
Glareola,燕鸻属
Glaucestrilda,淡蓝梅花雀
Glaucidium,鸺鹠属
Glaucis,钩嘴铜色蜂鸟
Gliciphila,茶冠澳蜜鸟
Glossopsitta,红耳属
Glossoptilus,戈氏属
Glycichaera,白眼吸蜜鸟
Glycifohia,横斑澳蜜鸟
Glyphorynchus,楔嘴䴕雀
Gnorimopsar,巴西拟鹂
Goldmania,紫顶蜂鸟
